tag,step,wall_time,value
train/domain,0,1769334265.2830014,48.0
train/domain,100,1769334266.0706913,48.0
train/domain,200,1769334266.7076187,48.0
train/domain,300,1769334267.4186099,48.0
train/domain,400,1769334268.0349634,48.0
train/domain,500,1769334268.5760634,48.0
train/domain,600,1769334269.1186647,48.0
train/domain,700,1769334269.662639,48.0
train/domain,800,1769334270.2034822,48.0
train/domain,900,1769334270.748305,48.0
train/domain,1000,1769334276.2730656,48.0
train/domain,1100,1769334276.8172424,48.0
train/domain,1200,1769334277.3558762,48.0
train/domain,1300,1769334277.8892255,48.0
train/domain,1400,1769334278.4253552,48.0
train/domain,1500,1769334278.9615757,48.0
train/domain,1600,1769334279.4978778,48.0
train/domain,1700,1769334280.0317261,48.0
train/domain,1800,1769334280.563826,48.0
train/domain,1900,1769334281.0894802,48.0
train/domain,2000,1769334286.3111303,48.0
train/domain,2100,1769334286.843182,48.0
train/domain,2200,1769334287.3763819,48.0
train/domain,2300,1769334287.90698,48.0
train/domain,2400,1769334288.438247,48.0
train/domain,2500,1769334288.9603918,48.0
train/domain,2600,1769334289.483949,48.0
train/domain,2700,1769334290.0069597,48.0
train/domain,2800,1769334290.5364442,48.0
train/domain,2900,1769334291.078426,48.0
train/domain,3000,1769334296.4142516,48.0
train/domain,3100,1769334296.951272,48.0
train/domain,3200,1769334297.474546,48.0
train/domain,3300,1769334298.00014,48.0
train/domain,3400,1769334298.5288522,48.0
train/domain,3500,1769334299.1522486,48.0
train/domain,3600,1769334299.680322,48.0
train/domain,3700,1769334300.1960561,48.0
train/domain,3800,1769334300.7099826,48.0
train/domain,3900,1769334301.2254865,48.0
train/domain,4000,1769334306.605473,48.0
train/domain,4100,1769334307.233268,48.0
train/domain,4200,1769334307.893531,48.0
train/domain,4300,1769334308.5508766,48.0
train/domain,4400,1769334309.2101796,48.0
train/domain,4500,1769334309.8521295,48.0
train/domain,4600,1769334310.375727,48.0
train/domain,4700,1769334310.8980925,48.0
train/domain,4800,1769334311.4200156,48.0
train/domain,4900,1769334311.9396107,48.0
train/domain,5000,1769334317.2983956,48.0
train/domain,5100,1769334317.8220935,48.0
train/domain,5200,1769334318.3439188,48.0
train/domain,5300,1769334318.870178,48.0
train/domain,5400,1769334319.3899846,48.0
train/domain,5500,1769334319.9094954,48.0
