tag,step,wall_time,value
train/domain,0,1768739080.6637986,23.0
train/domain,100,1768739081.3792424,27.0
train/domain,200,1768739082.1290867,23.0
train/domain,300,1768739082.9783509,23.0
train/domain,400,1768739083.807027,27.0
train/domain,500,1768739084.485645,27.0
train/domain,600,1768739085.2598364,27.0
train/domain,700,1768739085.9335206,23.0
train/domain,800,1768739086.5560129,23.0
train/domain,900,1768739087.163064,35.0
train/domain,1000,1768739103.3212762,35.0
train/domain,1100,1768739103.9186304,27.0
train/domain,1200,1768739104.6199305,23.0
train/domain,1300,1768739105.29352,35.0
train/domain,1400,1768739105.9725447,27.0
train/domain,1500,1768739106.6699867,35.0
train/domain,1600,1768739107.3771763,27.0
train/domain,1700,1768739108.0739164,27.0
train/domain,1800,1768739108.8154244,27.0
train/domain,1900,1768739109.5358915,23.0
train/domain,2000,1768739125.3793657,35.0
train/domain,2100,1768739126.0410507,23.0
train/domain,2200,1768739126.7086856,27.0
train/domain,2300,1768739127.3693042,27.0
train/domain,2400,1768739128.034743,23.0
train/domain,2500,1768739128.6902826,35.0
train/domain,2600,1768739129.3475525,35.0
train/domain,2700,1768739130.0083191,23.0
train/domain,2800,1768739130.6701744,27.0
train/domain,2900,1768739131.3260868,23.0
train/domain,3000,1768739148.5864747,23.0
train/domain,3100,1768739149.2616594,23.0
train/domain,3200,1768739149.9227242,23.0
train/domain,3300,1768739150.5842676,23.0
train/domain,3400,1768739151.241315,23.0
train/domain,3500,1768739151.8986003,27.0
train/domain,3600,1768739152.567875,27.0
train/domain,3700,1768739153.2274928,23.0
train/domain,3800,1768739153.8888855,23.0
train/domain,3900,1768739154.563596,23.0
train/domain,4000,1768739169.3377485,27.0
train/domain,4100,1768739169.9525502,35.0
train/domain,4200,1768739170.5445645,35.0
train/domain,4300,1768739171.1243088,35.0
train/domain,4400,1768739171.7191558,35.0
train/domain,4500,1768739172.3098056,35.0
train/domain,4600,1768739172.907366,27.0
train/domain,4700,1768739173.513259,23.0
train/domain,4800,1768739174.1011138,23.0
train/domain,4900,1768739174.6915848,35.0
train/domain,5000,1768739190.0901775,27.0
train/domain,5100,1768739190.7669404,35.0
train/domain,5200,1768739191.4426823,27.0
train/domain,5300,1768739192.109025,23.0
train/domain,5400,1768739192.7739024,27.0
train/domain,5500,1768739193.4352462,27.0
train/domain,5600,1768739194.108234,35.0
train/domain,5700,1768739194.7658577,27.0
train/domain,5800,1768739195.4380333,23.0
train/domain,5900,1768739196.102369,23.0
train/domain,6000,1768739211.7014036,23.0
train/domain,6100,1768739212.363586,35.0
train/domain,6200,1768739213.0178502,35.0
train/domain,6300,1768739213.6717315,35.0
train/domain,6400,1768739214.3230503,35.0
train/domain,6500,1768739214.979873,27.0
train/domain,6600,1768739215.6375175,27.0
train/domain,6700,1768739216.288238,27.0
train/domain,6800,1768739216.9427338,23.0
train/domain,6900,1768739217.5913835,35.0
train/domain,7000,1768739233.6708045,27.0
train/domain,7100,1768739234.2545369,27.0
train/domain,7200,1768739234.851024,35.0
train/domain,7300,1768739235.4497097,27.0
train/domain,7400,1768739236.0451188,35.0
train/domain,7500,1768739236.6381712,35.0
train/domain,7600,1768739237.2331505,23.0
train/domain,7700,1768739237.827487,27.0
train/domain,7800,1768739238.4199018,23.0
train/domain,7900,1768739239.0118306,35.0
train/domain,8000,1768739253.964221,27.0
train/domain,8100,1768739254.6286924,27.0
train/domain,8200,1768739255.3038063,27.0
train/domain,8300,1768739255.920552,23.0
train/domain,8400,1768739256.4997563,23.0
train/domain,8500,1768739257.0778234,35.0
train/domain,8600,1768739257.6521242,27.0
train/domain,8700,1768739258.225962,35.0
train/domain,8800,1768739258.8047235,23.0
train/domain,8900,1768739259.3778012,35.0
train/domain,9000,1768739275.3405747,27.0
train/domain,9100,1768739275.944939,23.0
train/domain,9200,1768739276.5355475,27.0
train/domain,9300,1768739277.1253998,35.0
train/domain,9400,1768739277.7151124,23.0
train/domain,9500,1768739278.2968342,27.0
train/domain,9600,1768739278.887773,23.0
train/domain,9700,1768739279.4767346,27.0
train/domain,9800,1768739280.0611582,35.0
train/domain,9900,1768739280.636889,35.0
train/domain,10000,1768739296.870642,23.0
train/domain,10100,1768739297.4489336,35.0
train/domain,10200,1768739298.0212862,27.0
train/domain,10300,1768739298.5903122,27.0
train/domain,10400,1768739299.1697948,23.0
train/domain,10500,1768739299.7461407,35.0
train/domain,10600,1768739300.3281915,23.0
train/domain,10700,1768739300.91068,27.0
train/domain,10800,1768739301.5005202,23.0
train/domain,10900,1768739302.0790558,27.0
train/domain,11000,1768739317.2677107,27.0
train/domain,11100,1768739317.8497958,35.0
train/domain,11200,1768739318.4349356,27.0
train/domain,11300,1768739319.0143645,23.0
train/domain,11400,1768739319.5921738,23.0
train/domain,11500,1768739320.1742208,27.0
train/domain,11600,1768739320.7546434,27.0
train/domain,11700,1768739321.3308933,35.0
train/domain,11800,1768739321.909104,23.0
train/domain,11900,1768739322.4942446,35.0
train/domain,12000,1768739338.6076853,27.0
train/domain,12100,1768739339.185303,35.0
train/domain,12200,1768739339.767819,23.0
train/domain,12300,1768739340.3464434,27.0
train/domain,12400,1768739340.925711,23.0
train/domain,12500,1768739341.503492,35.0
train/domain,12600,1768739342.0869267,23.0
train/domain,12700,1768739342.6695848,23.0
train/domain,12800,1768739343.2465591,35.0
train/domain,12900,1768739343.8324275,23.0
train/domain,13000,1768739359.0682268,27.0
train/domain,13100,1768739359.6504257,35.0
train/domain,13200,1768739360.2259831,35.0
train/domain,13300,1768739360.801238,27.0
train/domain,13400,1768739361.3802133,23.0
train/domain,13500,1768739361.9598153,23.0
train/domain,13600,1768739362.5424068,35.0
train/domain,13700,1768739363.1292875,27.0
train/domain,13800,1768739363.7159326,35.0
train/domain,13900,1768739364.3020494,27.0
train/domain,14000,1768739381.028775,27.0
train/domain,14100,1768739381.6150525,23.0
train/domain,14200,1768739382.2035348,35.0
train/domain,14300,1768739382.7931402,23.0
train/domain,14400,1768739383.3786685,23.0
train/domain,14500,1768739383.9562,27.0
train/domain,14600,1768739384.5466433,23.0
train/domain,14700,1768739385.1349568,27.0
train/domain,14800,1768739385.7853248,27.0
train/domain,14900,1768739386.444512,27.0
train/domain,15000,1768739400.788418,35.0
train/domain,15100,1768739401.4501426,35.0
train/domain,15200,1768739402.1154087,23.0
train/domain,15300,1768739402.7691453,35.0
train/domain,15400,1768739403.4371746,23.0
train/domain,15500,1768739404.0927837,27.0
train/domain,15600,1768739404.7462158,35.0
train/domain,15700,1768739405.4056902,23.0
train/domain,15800,1768739406.054487,35.0
train/domain,15900,1768739406.7046182,27.0
train/domain,16000,1768739420.9409986,27.0
train/domain,16100,1768739421.5856328,27.0
train/domain,16200,1768739422.2401276,27.0
train/domain,16300,1768739422.8954048,23.0
train/domain,16400,1768739423.5448976,27.0
train/domain,16500,1768739424.1912067,27.0
train/domain,16600,1768739424.8353407,27.0
train/domain,16700,1768739425.4830017,35.0
train/domain,16800,1768739426.1360958,23.0
train/domain,16900,1768739426.7833438,27.0
train/domain,17000,1768739441.4318871,35.0
train/domain,17100,1768739442.1125112,23.0
train/domain,17200,1768739442.7733278,23.0
train/domain,17300,1768739443.426384,27.0
train/domain,17400,1768739444.084651,23.0
train/domain,17500,1768739444.7442853,23.0
train/domain,17600,1768739445.4020302,35.0
train/domain,17700,1768739446.0546463,35.0
train/domain,17800,1768739446.717304,27.0
train/domain,17900,1768739447.308946,23.0
train/domain,18000,1768739464.8547344,35.0
train/domain,18100,1768739465.4293432,23.0
train/domain,18200,1768739466.011929,27.0
train/domain,18300,1768739466.5880475,27.0
train/domain,18400,1768739467.1585531,23.0
train/domain,18500,1768739467.7242212,27.0
train/domain,18600,1768739468.302403,27.0
train/domain,18700,1768739468.8836904,23.0
train/domain,18800,1768739469.465492,27.0
train/domain,18900,1768739470.047852,27.0
train/domain,19000,1768739486.1558604,35.0
train/domain,19100,1768739486.7987003,23.0
train/domain,19200,1768739487.4435859,23.0
train/domain,19300,1768739488.086799,35.0
train/domain,19400,1768739488.7247398,27.0
train/domain,19500,1768739489.3701487,23.0
train/domain,19600,1768739490.006598,23.0
train/domain,19700,1768739490.647256,35.0
train/domain,19800,1768739491.2881086,27.0
train/domain,19900,1768739491.9299986,35.0
train/domain,20000,1768739506.5301588,23.0
train/domain,20100,1768739507.1739814,27.0
train/domain,20200,1768739507.8126354,23.0
train/domain,20300,1768739508.448794,23.0
train/domain,20400,1768739509.090316,35.0
train/domain,20500,1768739509.7243888,27.0
train/domain,20600,1768739510.3570004,27.0
train/domain,20700,1768739510.9833357,35.0
train/domain,20800,1768739511.5616996,23.0
train/domain,20900,1768739512.1187463,23.0
train/domain,21000,1768739526.1473641,27.0
train/domain,21100,1768739526.8054967,27.0
train/domain,21200,1768739527.468684,35.0
train/domain,21300,1768739528.1212506,23.0
train/domain,21400,1768739528.7769315,35.0
train/domain,21500,1768739529.417865,27.0
train/domain,21600,1768739530.0349262,23.0
train/domain,21700,1768739530.6561975,35.0
train/domain,21800,1768739531.3130214,35.0
train/domain,21900,1768739531.9776647,27.0
train/domain,22000,1768739547.3041062,23.0
train/domain,22100,1768739547.983264,35.0
train/domain,22200,1768739548.6755815,23.0
train/domain,22300,1768739549.379417,35.0
train/domain,22400,1768739550.0304306,23.0
train/domain,22500,1768739550.6403184,35.0
train/domain,22600,1768739551.2528837,35.0
train/domain,22700,1768739551.8512728,27.0
train/domain,22800,1768739552.4680035,27.0
train/domain,22900,1768739553.0933075,35.0
train/domain,23000,1768739569.3092172,35.0
train/domain,23100,1768739569.998298,35.0
train/domain,23200,1768739570.696297,23.0
train/domain,23300,1768739571.390211,27.0
train/domain,23400,1768739572.100802,23.0
train/domain,23500,1768739572.7721562,27.0
train/domain,23600,1768739573.380378,27.0
train/domain,23700,1768739573.9882326,23.0
train/domain,23800,1768739574.6010602,35.0
train/domain,23900,1768739575.2079806,35.0
train/domain,24000,1768739590.772696,35.0
train/domain,24100,1768739591.4390597,35.0
train/domain,24200,1768739592.1016235,23.0
train/domain,24300,1768739592.7685776,23.0
train/domain,24400,1768739593.4515996,23.0
train/domain,24500,1768739594.1296258,27.0
train/domain,24600,1768739594.8064435,27.0
train/domain,24700,1768739595.4830587,23.0
train/domain,24800,1768739596.1618264,27.0
train/domain,24900,1768739596.831768,35.0
train/domain,25000,1768739612.3070743,35.0
train/domain,25100,1768739612.9822402,23.0
train/domain,25200,1768739613.6352503,23.0
train/domain,25300,1768739614.290262,35.0
train/domain,25400,1768739614.940059,27.0
train/domain,25500,1768739615.6199126,35.0
train/domain,25600,1768739616.3133438,23.0
train/domain,25700,1768739616.9885995,35.0
train/domain,25800,1768739617.6758494,23.0
train/domain,25900,1768739618.3762727,23.0
train/domain,26000,1768739633.7350092,27.0
train/domain,26100,1768739634.3926306,23.0
train/domain,26200,1768739635.0640182,23.0
train/domain,26300,1768739635.7317452,35.0
train/domain,26400,1768739636.4113648,27.0
train/domain,26500,1768739637.0804613,27.0
train/domain,26600,1768739637.7679865,27.0
train/domain,26700,1768739638.4500148,35.0
train/domain,26800,1768739639.1290045,35.0
train/domain,26900,1768739639.7978144,23.0
train/domain,27000,1768739655.75844,27.0
train/domain,27100,1768739656.41011,23.0
train/domain,27200,1768739657.0549653,35.0
train/domain,27300,1768739657.714088,23.0
train/domain,27400,1768739658.3859332,35.0
train/domain,27500,1768739659.034735,27.0
train/domain,27600,1768739659.7103148,23.0
train/domain,27700,1768739660.369472,23.0
train/domain,27800,1768739661.0277755,23.0
train/domain,27900,1768739661.6760595,23.0
train/domain,28000,1768739675.4225235,27.0
train/domain,28100,1768739676.0993595,27.0
train/domain,28200,1768739676.77432,35.0
train/domain,28300,1768739677.4209797,27.0
train/domain,28400,1768739678.0618508,27.0
train/domain,28500,1768739678.7064846,27.0
train/domain,28600,1768739679.3422275,27.0
train/domain,28700,1768739679.9822803,35.0
train/domain,28800,1768739680.62307,23.0
train/domain,28900,1768739681.2700093,35.0
train/domain,29000,1768739696.0517077,23.0
train/domain,29100,1768739696.6977584,35.0
train/domain,29200,1768739697.344828,35.0
train/domain,29300,1768739697.986665,23.0
train/domain,29400,1768739698.627115,27.0
train/domain,29500,1768739699.2697668,27.0
train/domain,29600,1768739699.9112642,35.0
train/domain,29700,1768739700.5584047,35.0
train/domain,29800,1768739701.202084,27.0
train/domain,29900,1768739701.8460696,23.0
train/domain,30000,1768739716.1771464,35.0
train/domain,30100,1768739716.7631974,27.0
train/domain,30200,1768739717.3453135,23.0
train/domain,30300,1768739717.9292185,23.0
train/domain,30400,1768739718.5203147,35.0
train/domain,30500,1768739719.104479,23.0
train/domain,30600,1768739719.6908858,35.0
train/domain,30700,1768739720.2742715,23.0
train/domain,30800,1768739720.8554933,35.0
train/domain,30900,1768739721.4384208,23.0
train/domain,31000,1768739736.5682752,27.0
train/domain,31100,1768739737.2304187,23.0
train/domain,31200,1768739737.8843987,23.0
train/domain,31300,1768739738.5417216,35.0
train/domain,31400,1768739739.1963606,27.0
train/domain,31500,1768739739.8490052,27.0
train/domain,31600,1768739740.5043473,35.0
train/domain,31700,1768739741.1601908,35.0
train/domain,31800,1768739741.816191,35.0
train/domain,31900,1768739742.473335,27.0
train/domain,32000,1768739756.3112946,35.0
train/domain,32100,1768739756.9199557,23.0
train/domain,32200,1768739757.5085015,27.0
train/domain,32300,1768739758.08714,27.0
train/domain,32400,1768739758.67201,23.0
train/domain,32500,1768739759.2449715,27.0
train/domain,32600,1768739759.8214242,23.0
train/domain,32700,1768739760.403167,23.0
train/domain,32800,1768739760.9838305,27.0
train/domain,32900,1768739761.562481,23.0
train/domain,33000,1768739776.8437195,23.0
train/domain,33100,1768739777.4297943,35.0
train/domain,33200,1768739778.0145848,27.0
train/domain,33300,1768739778.598068,27.0
train/domain,33400,1768739779.170476,27.0
train/domain,33500,1768739779.7509425,35.0
train/domain,33600,1768739780.3297076,23.0
train/domain,33700,1768739780.906345,23.0
train/domain,33800,1768739781.4843194,35.0
train/domain,33900,1768739782.0641437,35.0
train/domain,34000,1768739797.2931786,23.0
train/domain,34100,1768739797.9403923,27.0
train/domain,34200,1768739798.5972247,35.0
train/domain,34300,1768739799.2417471,23.0
train/domain,34400,1768739799.8859901,35.0
train/domain,34500,1768739800.5288615,23.0
train/domain,34600,1768739801.1663644,23.0
train/domain,34700,1768739801.8849957,35.0
train/domain,34800,1768739802.5847938,27.0
train/domain,34900,1768739803.269497,27.0
train/domain,35000,1768739819.3583949,27.0
train/domain,35100,1768739819.9414685,23.0
train/domain,35200,1768739820.5373406,35.0
train/domain,35300,1768739821.1242888,23.0
train/domain,35400,1768739821.7114003,35.0
train/domain,35500,1768739822.292666,35.0
train/domain,35600,1768739822.874983,27.0
train/domain,35700,1768739823.4616196,23.0
train/domain,35800,1768739824.0420291,27.0
train/domain,35900,1768739824.6209574,23.0
train/domain,36000,1768739839.1710129,27.0
train/domain,36100,1768739839.7553234,27.0
train/domain,36200,1768739840.3402562,27.0
train/domain,36300,1768739840.9253235,23.0
train/domain,36400,1768739841.5099924,23.0
train/domain,36500,1768739842.1026285,35.0
train/domain,36600,1768739842.6957173,27.0
train/domain,36700,1768739843.3394315,35.0
train/domain,36800,1768739843.99125,23.0
train/domain,36900,1768739844.6337533,23.0
train/domain,37000,1768739859.7903922,35.0
train/domain,37100,1768739860.370661,35.0
train/domain,37200,1768739860.9595373,35.0
train/domain,37300,1768739861.540874,35.0
train/domain,37400,1768739862.120887,27.0
train/domain,37500,1768739862.7048855,27.0
train/domain,37600,1768739863.2844148,35.0
train/domain,37700,1768739863.8666048,27.0
train/domain,37800,1768739864.449489,23.0
train/domain,37900,1768739865.0260317,35.0
train/domain,38000,1768739880.8087063,35.0
train/domain,38100,1768739881.486263,27.0
train/domain,38200,1768739882.1724882,35.0
train/domain,38300,1768739882.8543477,35.0
train/domain,38400,1768739883.53427,23.0
train/domain,38500,1768739884.2138615,35.0
train/domain,38600,1768739884.8995905,35.0
train/domain,38700,1768739885.5777698,23.0
train/domain,38800,1768739886.2700527,35.0
train/domain,38900,1768739886.9474847,27.0
train/domain,39000,1768739901.9876566,35.0
train/domain,39100,1768739902.6688044,27.0
train/domain,39200,1768739903.3445559,35.0
train/domain,39300,1768739904.0252223,35.0
train/domain,39400,1768739904.7007113,23.0
train/domain,39500,1768739905.3451138,27.0
train/domain,39600,1768739905.994056,27.0
train/domain,39700,1768739906.6370354,35.0
train/domain,39800,1768739907.2765188,27.0
train/domain,39900,1768739907.9229062,35.0
train/domain,40000,1768739923.6908672,35.0
train/domain,40100,1768739924.4258585,23.0
train/domain,40200,1768739925.1265397,23.0
train/domain,40300,1768739925.7580664,35.0
train/domain,40400,1768739926.3978887,27.0
train/domain,40500,1768739927.0291886,35.0
train/domain,40600,1768739927.6640286,27.0
train/domain,40700,1768739928.303147,35.0
train/domain,40800,1768739928.939012,27.0
train/domain,40900,1768739929.575683,35.0
train/domain,41000,1768739943.7425678,23.0
train/domain,41100,1768739944.3269546,35.0
train/domain,41200,1768739944.9171584,35.0
train/domain,41300,1768739945.4917946,27.0
train/domain,41400,1768739946.0639098,23.0
train/domain,41500,1768739946.6417427,23.0
train/domain,41600,1768739947.224469,35.0
train/domain,41700,1768739947.8021097,23.0
train/domain,41800,1768739948.3874412,27.0
train/domain,41900,1768739948.966772,35.0
train/domain,42000,1768739963.4412818,27.0
train/domain,42100,1768739964.02342,23.0
train/domain,42200,1768739964.602143,27.0
train/domain,42300,1768739965.1833367,35.0
train/domain,42400,1768739965.767048,23.0
train/domain,42500,1768739966.3501124,35.0
train/domain,42600,1768739966.92952,23.0
train/domain,42700,1768739967.511304,27.0
train/domain,42800,1768739968.0947223,27.0
train/domain,42900,1768739968.6745353,35.0
train/domain,43000,1768739983.6830974,23.0
train/domain,43100,1768739984.2711496,35.0
train/domain,43200,1768739984.8415577,23.0
train/domain,43300,1768739985.4168363,23.0
train/domain,43400,1768739985.9909313,35.0
train/domain,43500,1768739986.5672503,35.0
train/domain,43600,1768739987.14255,27.0
train/domain,43700,1768739987.7148063,27.0
train/domain,43800,1768739988.291455,27.0
train/domain,43900,1768739988.8713217,23.0
train/domain,44000,1768740003.2457108,27.0
train/domain,44100,1768740003.8288507,27.0
train/domain,44200,1768740004.4009085,27.0
train/domain,44300,1768740005.0472758,23.0
train/domain,44400,1768740005.7326903,23.0
train/domain,44500,1768740006.4288757,27.0
train/domain,44600,1768740007.1177757,27.0
train/domain,44700,1768740007.739074,23.0
train/domain,44800,1768740008.3136773,27.0
train/domain,44900,1768740008.8907309,27.0
train/domain,45000,1768740025.0280368,27.0
train/domain,45100,1768740025.6767557,27.0
train/domain,45200,1768740026.349204,27.0
train/domain,45300,1768740027.0300746,23.0
train/domain,45400,1768740027.7062502,23.0
train/domain,45500,1768740028.3804898,27.0
train/domain,45600,1768740029.059504,23.0
train/domain,45700,1768740029.7276092,23.0
train/domain,45800,1768740030.4063616,35.0
train/domain,45900,1768740031.0742106,23.0
train/domain,46000,1768740046.7986152,23.0
train/domain,46100,1768740047.5713527,35.0
train/domain,46200,1768740048.2609012,23.0
train/domain,46300,1768740048.9336631,23.0
train/domain,46400,1768740049.6040752,23.0
train/domain,46500,1768740050.2883396,35.0
train/domain,46600,1768740050.963367,35.0
train/domain,46700,1768740051.6371279,23.0
train/domain,46800,1768740052.3093364,23.0
train/domain,46900,1768740052.995738,35.0
train/domain,47000,1768740068.763268,23.0
train/domain,47100,1768740069.4063969,23.0
train/domain,47200,1768740070.0541527,23.0
train/domain,47300,1768740070.6942542,27.0
train/domain,47400,1768740071.3396876,27.0
train/domain,47500,1768740071.9900668,35.0
train/domain,47600,1768740072.6301665,27.0
train/domain,47700,1768740073.2635336,35.0
train/domain,47800,1768740073.9028273,23.0
train/domain,47900,1768740074.5449953,27.0
train/domain,48000,1768740088.9158936,27.0
train/domain,48100,1768740089.562745,27.0
train/domain,48200,1768740090.2111335,23.0
train/domain,48300,1768740090.848717,23.0
train/domain,48400,1768740091.5042238,35.0
train/domain,48500,1768740092.148941,23.0
train/domain,48600,1768740092.7895613,23.0
train/domain,48700,1768740093.4295406,35.0
train/domain,48800,1768740094.0892754,27.0
train/domain,48900,1768740094.7407033,35.0
train/domain,49000,1768740110.5219877,23.0
train/domain,49100,1768740111.1055024,23.0
train/domain,49200,1768740111.6865666,23.0
train/domain,49300,1768740112.2614455,35.0
train/domain,49400,1768740112.8480213,35.0
train/domain,49500,1768740113.4218276,27.0
train/domain,49600,1768740114.010772,23.0
train/domain,49700,1768740114.5974333,23.0
train/domain,49800,1768740115.1798356,27.0
train/domain,49900,1768740115.7602563,23.0
train/domain,50000,1768740131.0964305,27.0
train/domain,50100,1768740131.7153342,27.0
train/domain,50200,1768740132.327394,35.0
train/domain,50300,1768740132.9367,23.0
train/domain,50400,1768740133.5520244,23.0
train/domain,50500,1768740134.1622298,27.0
train/domain,50600,1768740134.76973,23.0
train/domain,50700,1768740135.384017,23.0
train/domain,50800,1768740135.9922225,23.0
train/domain,50900,1768740136.6089551,27.0
train/domain,51000,1768740150.8064697,23.0
train/domain,51100,1768740151.3879266,27.0
train/domain,51200,1768740151.9739695,35.0
train/domain,51300,1768740152.5571816,23.0
train/domain,51400,1768740153.139048,35.0
train/domain,51500,1768740153.7155259,27.0
train/domain,51600,1768740154.2952113,23.0
train/domain,51700,1768740154.8712242,27.0
train/domain,51800,1768740155.4477243,35.0
train/domain,51900,1768740156.0233746,35.0
train/domain,52000,1768740171.870274,23.0
train/domain,52100,1768740172.4477654,23.0
train/domain,52200,1768740173.0236123,27.0
train/domain,52300,1768740173.5988283,27.0
train/domain,52400,1768740174.1788747,23.0
train/domain,52500,1768740174.7598057,35.0
train/domain,52600,1768740175.3370905,27.0
train/domain,52700,1768740175.9135826,27.0
train/domain,52800,1768740176.4931738,27.0
train/domain,52900,1768740177.0704749,23.0
train/domain,53000,1768740192.4478464,27.0
train/domain,53100,1768740193.1836345,23.0
train/domain,53200,1768740193.8848813,27.0
train/domain,53300,1768740194.579006,23.0
train/domain,53400,1768740195.2787735,27.0
train/domain,53500,1768740195.967754,35.0
train/domain,53600,1768740196.5882413,27.0
train/domain,53700,1768740197.1677139,27.0
train/domain,53800,1768740197.7572575,35.0
train/domain,53900,1768740198.3399053,27.0
train/domain,54000,1768740213.617845,35.0
train/domain,54100,1768740214.26212,35.0
train/domain,54200,1768740214.9040987,35.0
train/domain,54300,1768740215.5699704,27.0
train/domain,54400,1768740216.2143579,23.0
train/domain,54500,1768740216.8499262,27.0
train/domain,54600,1768740217.494502,23.0
train/domain,54700,1768740218.1406596,27.0
train/domain,54800,1768740218.7832398,35.0
train/domain,54900,1768740219.4198673,27.0
train/domain,55000,1768740233.9592729,27.0
train/domain,55100,1768740234.6080823,23.0
train/domain,55200,1768740235.25943,23.0
train/domain,55300,1768740235.9037087,23.0
train/domain,55400,1768740236.5714824,35.0
train/domain,55500,1768740237.215833,23.0
train/domain,55600,1768740237.8638146,23.0
train/domain,55700,1768740238.5103726,27.0
train/domain,55800,1768740239.1545305,23.0
train/domain,55900,1768740239.8086948,23.0
train/domain,56000,1768740254.5253325,27.0
train/domain,56100,1768740255.4008555,23.0
train/domain,56200,1768740256.0352654,35.0
train/domain,56300,1768740256.936572,27.0
