tag,step,wall_time,value
train/domain,0,1768737485.4014642,38.0
train/domain,100,1768737486.244732,38.0
train/domain,200,1768737487.0658693,38.0
train/domain,300,1768737487.889171,38.0
train/domain,400,1768737488.7331095,38.0
train/domain,500,1768737489.5500648,38.0
train/domain,600,1768737490.3666995,38.0
train/domain,700,1768737491.186568,38.0
train/domain,800,1768737492.0917299,38.0
train/domain,900,1768737493.163546,38.0
train/domain,1000,1768737502.8142858,38.0
train/domain,1100,1768737503.6359591,38.0
train/domain,1200,1768737504.4425485,38.0
train/domain,1300,1768737505.4206848,38.0
train/domain,1400,1768737506.4686723,38.0
train/domain,1500,1768737507.551278,38.0
train/domain,1600,1768737508.6824024,38.0
train/domain,1700,1768737509.8007777,38.0
train/domain,1800,1768737510.954285,38.0
train/domain,1900,1768737512.0685713,38.0
train/domain,2000,1768737522.0091963,38.0
train/domain,2100,1768737523.081882,38.0
train/domain,2200,1768737524.1676784,38.0
train/domain,2300,1768737525.2636545,38.0
train/domain,2400,1768737526.3876371,38.0
train/domain,2500,1768737527.3883245,38.0
train/domain,2600,1768737528.2378848,38.0
train/domain,2700,1768737529.074681,38.0
train/domain,2800,1768737529.9113576,38.0
train/domain,2900,1768737530.7537951,38.0
train/domain,3000,1768737541.290081,38.0
train/domain,3100,1768737542.0927176,38.0
train/domain,3200,1768737542.9378238,38.0
train/domain,3300,1768737543.777292,38.0
train/domain,3400,1768737544.60905,38.0
train/domain,3500,1768737545.436233,38.0
train/domain,3600,1768737546.2631383,38.0
train/domain,3700,1768737547.0878434,38.0
train/domain,3800,1768737547.9769998,38.0
train/domain,3900,1768737549.0661469,38.0
train/domain,4000,1768737560.4997468,38.0
train/domain,4100,1768737561.328468,38.0
train/domain,4200,1768737562.153049,38.0
train/domain,4300,1768737563.1007843,38.0
train/domain,4400,1768737564.1740165,38.0
train/domain,4500,1768737565.2639408,38.0
train/domain,4600,1768737566.3656702,38.0
train/domain,4700,1768737567.3486507,38.0
train/domain,4800,1768737568.3259375,38.0
train/domain,4900,1768737569.30236,38.0
train/domain,5000,1768737576.6432784,38.0
train/domain,5100,1768737577.6280928,38.0
train/domain,5200,1768737578.6082172,38.0
train/domain,5300,1768737579.5942488,38.0
train/domain,5400,1768737580.5527687,38.0
train/domain,5500,1768737581.264411,38.0
train/domain,5600,1768737581.975986,38.0
train/domain,5700,1768737582.679594,38.0
train/domain,5800,1768737583.3794782,38.0
train/domain,5900,1768737584.0670524,38.0
train/domain,6000,1768737592.8776202,38.0
train/domain,6100,1768737593.5780418,38.0
train/domain,6200,1768737594.292016,38.0
train/domain,6300,1768737594.9782844,38.0
train/domain,6400,1768737595.677664,38.0
train/domain,6500,1768737596.364871,38.0
train/domain,6600,1768737597.2326856,38.0
train/domain,6700,1768737598.2116516,38.0
train/domain,6800,1768737599.2803364,38.0
train/domain,6900,1768737600.2871704,38.0
train/domain,7000,1768737608.157278,38.0
train/domain,7100,1768737609.0051515,38.0
train/domain,7200,1768737609.9799016,38.0
train/domain,7300,1768737610.9156017,38.0
train/domain,7400,1768737611.896557,38.0
train/domain,7500,1768737612.8708053,38.0
train/domain,7600,1768737613.8657818,38.0
train/domain,7700,1768737614.5857491,38.0
train/domain,7800,1768737615.29726,38.0
train/domain,7900,1768737616.0219426,38.0
train/domain,8000,1768737624.6092155,38.0
train/domain,8100,1768737625.3781457,38.0
train/domain,8200,1768737626.0860405,38.0
train/domain,8300,1768737626.798838,38.0
train/domain,8400,1768737627.5081224,38.0
train/domain,8500,1768737628.2217505,38.0
train/domain,8600,1768737628.933118,38.0
train/domain,8700,1768737629.6705055,38.0
train/domain,8800,1768737630.3998032,38.0
train/domain,8900,1768737631.2457874,38.0
train/domain,9000,1768737640.0040853,38.0
train/domain,9100,1768737640.701119,38.0
train/domain,9200,1768737641.41855,38.0
train/domain,9300,1768737642.2843666,38.0
train/domain,9400,1768737643.224854,38.0
train/domain,9500,1768737644.1534226,38.0
train/domain,9600,1768737645.1434097,38.0
train/domain,9700,1768737646.0788152,38.0
train/domain,9800,1768737647.046909,38.0
train/domain,9900,1768737647.9608114,38.0
train/domain,10000,1768737655.5485902,38.0
train/domain,10100,1768737656.5039911,38.0
train/domain,10200,1768737657.4387004,38.0
train/domain,10300,1768737658.3951147,38.0
train/domain,10400,1768737659.1549644,38.0
train/domain,10500,1768737659.8673167,38.0
train/domain,10600,1768737660.6846247,38.0
train/domain,10700,1768737661.5022337,38.0
train/domain,10800,1768737662.3454254,38.0
train/domain,10900,1768737663.1883194,38.0
train/domain,11000,1768737672.3478353,38.0
train/domain,11100,1768737673.0556006,38.0
train/domain,11200,1768737673.7642012,38.0
train/domain,11300,1768737674.4803627,38.0
train/domain,11400,1768737675.261087,38.0
train/domain,11500,1768737676.1905422,38.0
train/domain,11600,1768737677.1321611,38.0
train/domain,11700,1768737678.0963705,38.0
train/domain,11800,1768737679.0184453,38.0
train/domain,11900,1768737679.9428349,38.0
train/domain,12000,1768737686.7407198,38.0
train/domain,12100,1768737687.5419652,38.0
train/domain,12200,1768737688.5329773,38.0
train/domain,12300,1768737689.5044417,38.0
train/domain,12400,1768737690.4624112,38.0
train/domain,12500,1768737691.3973923,38.0
train/domain,12600,1768737692.3724136,38.0
train/domain,12700,1768737693.3339117,38.0
train/domain,12800,1768737694.0652506,38.0
train/domain,12900,1768737694.7775338,38.0
train/domain,13000,1768737702.9682324,38.0
train/domain,13100,1768737703.9681163,38.0
train/domain,13200,1768737704.6580777,38.0
train/domain,13300,1768737705.3740306,38.0
train/domain,13400,1768737706.074329,38.0
train/domain,13500,1768737706.738115,38.0
train/domain,13600,1768737707.4401412,38.0
train/domain,13700,1768737708.1339386,38.0
train/domain,13800,1768737708.8372357,38.0
train/domain,13900,1768737709.5875435,38.0
train/domain,14000,1768737718.5890632,38.0
train/domain,14100,1768737719.277359,38.0
train/domain,14200,1768737719.9529886,38.0
train/domain,14300,1768737720.6648653,38.0
train/domain,14400,1768737721.5325017,38.0
