tag,step,wall_time,value
train/domain,0,1769336538.9068913,12.0
train/domain,100,1769336539.6334174,12.0
train/domain,200,1769336540.1978238,12.0
train/domain,300,1769336540.7348087,12.0
train/domain,400,1769336541.2768056,12.0
train/domain,500,1769336541.8152003,12.0
train/domain,600,1769336542.3553896,12.0
train/domain,700,1769336543.0254476,12.0
train/domain,800,1769336543.741497,12.0
train/domain,900,1769336544.4536922,12.0
train/domain,1000,1769336550.2672539,12.0
train/domain,1100,1769336550.8484447,12.0
train/domain,1200,1769336551.3865983,12.0
train/domain,1300,1769336551.9274526,12.0
train/domain,1400,1769336552.4647126,12.0
train/domain,1500,1769336552.9997756,12.0
train/domain,1600,1769336553.5379581,12.0
train/domain,1700,1769336554.0790825,12.0
train/domain,1800,1769336554.6167688,12.0
train/domain,1900,1769336555.154149,12.0
train/domain,2000,1769336560.1810062,12.0
train/domain,2100,1769336560.7220988,12.0
train/domain,2200,1769336561.259858,12.0
train/domain,2300,1769336561.798464,12.0
train/domain,2400,1769336562.3394036,12.0
train/domain,2500,1769336562.8769794,12.0
train/domain,2600,1769336563.4129703,12.0
train/domain,2700,1769336563.954083,12.0
train/domain,2800,1769336564.4871323,12.0
train/domain,2900,1769336565.0234478,12.0
train/domain,3000,1769336570.8665779,12.0
train/domain,3100,1769336571.4033422,12.0
train/domain,3200,1769336571.941181,12.0
train/domain,3300,1769336572.4735441,12.0
train/domain,3400,1769336573.0050652,12.0
train/domain,3500,1769336573.5358608,12.0
train/domain,3600,1769336574.0682864,12.0
train/domain,3700,1769336574.5996802,12.0
train/domain,3800,1769336575.1307085,12.0
train/domain,3900,1769336575.661017,12.0
train/domain,4000,1769336580.6990445,12.0
train/domain,4100,1769336581.2389703,12.0
train/domain,4200,1769336581.7715542,12.0
train/domain,4300,1769336582.302609,12.0
train/domain,4400,1769336582.834986,12.0
train/domain,4500,1769336583.3673458,12.0
train/domain,4600,1769336583.8995144,12.0
train/domain,4700,1769336584.4304366,12.0
train/domain,4800,1769336584.957692,12.0
train/domain,4900,1769336585.4870713,12.0
train/domain,5000,1769336590.4059792,12.0
train/domain,5100,1769336590.9382894,12.0
train/domain,5200,1769336591.4690623,12.0
train/domain,5300,1769336592.0108938,12.0
train/domain,5400,1769336592.5409005,12.0
train/domain,5500,1769336593.0758753,12.0
train/domain,5600,1769336593.689877,12.0
train/domain,5700,1769336594.3063445,12.0
train/domain,5800,1769336594.9231675,12.0
train/domain,5900,1769336595.5373347,12.0
train/domain,6000,1769336600.3484914,12.0
train/domain,6100,1769336600.8784628,12.0
train/domain,6200,1769336601.4074934,12.0
train/domain,6300,1769336601.9388626,12.0
train/domain,6400,1769336602.4673731,12.0
train/domain,6500,1769336602.997307,12.0
train/domain,6600,1769336603.554612,12.0
train/domain,6700,1769336604.1541584,12.0
train/domain,6800,1769336604.754405,12.0
train/domain,6900,1769336605.3126185,12.0
train/domain,7000,1769336610.337577,12.0
train/domain,7100,1769336610.9529016,12.0
train/domain,7200,1769336611.483016,12.0
train/domain,7300,1769336612.012658,12.0
train/domain,7400,1769336612.5418992,12.0
train/domain,7500,1769336613.0705452,12.0
train/domain,7600,1769336613.5986364,12.0
train/domain,7700,1769336614.1259592,12.0
train/domain,7800,1769336614.6537557,12.0
train/domain,7900,1769336615.18557,12.0
train/domain,8000,1769336620.9279394,12.0
train/domain,8100,1769336621.4606616,12.0
train/domain,8200,1769336621.9878764,12.0
train/domain,8300,1769336622.5178444,12.0
train/domain,8400,1769336623.0481994,12.0
train/domain,8500,1769336623.5749655,12.0
train/domain,8600,1769336624.1047137,12.0
train/domain,8700,1769336624.6347806,12.0
train/domain,8800,1769336625.1642401,12.0
train/domain,8900,1769336625.691164,12.0
train/domain,9000,1769336630.5479498,12.0
train/domain,9100,1769336631.0801997,12.0
train/domain,9200,1769336631.6096706,12.0
train/domain,9300,1769336632.1385505,12.0
train/domain,9400,1769336632.668936,12.0
train/domain,9500,1769336633.1940253,12.0
train/domain,9600,1769336633.7229686,12.0
train/domain,9700,1769336634.2502074,12.0
train/domain,9800,1769336634.7773962,12.0
train/domain,9900,1769336635.3038833,12.0
train/domain,10000,1769336639.9639595,12.0
train/domain,10100,1769336640.4955251,12.0
train/domain,10200,1769336641.0223596,12.0
train/domain,10300,1769336641.550329,12.0
train/domain,10400,1769336642.0758572,12.0
train/domain,10500,1769336642.6010168,12.0
train/domain,10600,1769336643.2265482,12.0
train/domain,10700,1769336643.8518922,12.0
train/domain,10800,1769336644.3823133,12.0
train/domain,10900,1769336644.9133432,12.0
train/domain,11000,1769336650.154856,12.0
train/domain,11100,1769336650.6840036,12.0
train/domain,11200,1769336651.215443,12.0
train/domain,11300,1769336651.7515068,12.0
train/domain,11400,1769336652.2936318,12.0
train/domain,11500,1769336652.828318,12.0
train/domain,11600,1769336653.36658,12.0
train/domain,11700,1769336653.9020047,12.0
train/domain,11800,1769336654.4358323,12.0
train/domain,11900,1769336654.970589,12.0
train/domain,12000,1769336660.3332028,12.0
train/domain,12100,1769336661.0396507,12.0
train/domain,12200,1769336661.7543967,12.0
train/domain,12300,1769336662.349396,12.0
train/domain,12400,1769336662.8913846,12.0
train/domain,12500,1769336663.4335704,12.0
train/domain,12600,1769336663.976311,12.0
train/domain,12700,1769336664.5163069,12.0
train/domain,12800,1769336665.056794,12.0
train/domain,12900,1769336665.5960543,12.0
train/domain,13000,1769336671.4810023,12.0
train/domain,13100,1769336672.0170739,12.0
train/domain,13200,1769336672.554752,12.0
train/domain,13300,1769336673.0932803,12.0
train/domain,13400,1769336673.6290057,12.0
train/domain,13500,1769336674.1667843,12.0
train/domain,13600,1769336674.7050295,12.0
train/domain,13700,1769336675.2415638,12.0
train/domain,13800,1769336675.7731915,12.0
train/domain,13900,1769336676.31244,12.0
train/domain,14000,1769336682.3914692,12.0
train/domain,14100,1769336682.9363995,12.0
train/domain,14200,1769336683.481122,12.0
train/domain,14300,1769336684.0235622,12.0
train/domain,14400,1769336684.5651603,12.0
train/domain,14500,1769336685.1085207,12.0
train/domain,14600,1769336685.6460552,12.0
train/domain,14700,1769336686.1868849,12.0
train/domain,14800,1769336686.7258744,12.0
train/domain,14900,1769336687.2643163,12.0
train/domain,15000,1769336692.4759037,12.0
train/domain,15100,1769336693.0178256,12.0
train/domain,15200,1769336693.5570638,12.0
train/domain,15300,1769336694.0941825,12.0
train/domain,15400,1769336694.6351697,12.0
train/domain,15500,1769336695.1756399,12.0
train/domain,15600,1769336695.717155,12.0
train/domain,15700,1769336696.261666,12.0
train/domain,15800,1769336696.8024442,12.0
train/domain,15900,1769336697.3436751,12.0
train/domain,16000,1769336702.7822824,12.0
train/domain,16100,1769336703.3247316,12.0
train/domain,16200,1769336703.8678377,12.0
train/domain,16300,1769336704.4094849,12.0
train/domain,16400,1769336704.9494205,12.0
train/domain,16500,1769336705.4912353,12.0
train/domain,16600,1769336706.032544,12.0
train/domain,16700,1769336706.572354,12.0
train/domain,16800,1769336707.11652,12.0
train/domain,16900,1769336707.6661239,12.0
train/domain,17000,1769336713.1442208,12.0
train/domain,17100,1769336713.6965082,12.0
train/domain,17200,1769336714.2463064,12.0
train/domain,17300,1769336714.7943308,12.0
train/domain,17400,1769336715.3435247,12.0
train/domain,17500,1769336716.031116,12.0
train/domain,17600,1769336716.714381,12.0
train/domain,17700,1769336717.406392,12.0
train/domain,17800,1769336718.0954895,12.0
train/domain,17900,1769336718.788559,12.0
train/domain,18000,1769336723.8499737,12.0
train/domain,18100,1769336724.399292,12.0
train/domain,18200,1769336724.9431643,12.0
train/domain,18300,1769336725.4912136,12.0
train/domain,18400,1769336726.03866,12.0
train/domain,18500,1769336726.588606,12.0
train/domain,18600,1769336727.1376638,12.0
train/domain,18700,1769336727.6896932,12.0
train/domain,18800,1769336728.4089227,12.0
train/domain,18900,1769336728.951668,12.0
train/domain,19000,1769336734.1787343,12.0
train/domain,19100,1769336734.7290118,12.0
train/domain,19200,1769336735.2729623,12.0
train/domain,19300,1769336735.816755,12.0
train/domain,19400,1769336736.360413,12.0
train/domain,19500,1769336736.9016855,12.0
train/domain,19600,1769336737.4431665,12.0
train/domain,19700,1769336737.9907556,12.0
train/domain,19800,1769336738.5372698,12.0
train/domain,19900,1769336739.0788713,12.0
train/domain,20000,1769336743.8614228,12.0
train/domain,20100,1769336744.3927774,12.0
train/domain,20200,1769336744.923639,12.0
train/domain,20300,1769336745.4540908,12.0
train/domain,20400,1769336745.9877417,12.0
train/domain,20500,1769336746.5202951,12.0
train/domain,20600,1769336747.0458276,12.0
train/domain,20700,1769336747.5752196,12.0
train/domain,20800,1769336748.1095629,12.0
train/domain,20900,1769336748.639931,12.0
train/domain,21000,1769336753.1781216,12.0
train/domain,21100,1769336753.7227533,12.0
train/domain,21200,1769336754.2573192,12.0
train/domain,21300,1769336754.7802129,12.0
train/domain,21400,1769336755.2985091,12.0
train/domain,21500,1769336755.8160408,12.0
train/domain,21600,1769336756.3357587,12.0
train/domain,21700,1769336756.8518293,12.0
train/domain,21800,1769336757.373063,12.0
train/domain,21900,1769336757.9019253,12.0
train/domain,22000,1769336762.6968262,12.0
train/domain,22100,1769336763.2429438,12.0
train/domain,22200,1769336763.7839499,12.0
train/domain,22300,1769336764.3223653,12.0
train/domain,22400,1769336764.8588703,12.0
train/domain,22500,1769336765.3957593,12.0
train/domain,22600,1769336765.9321423,12.0
train/domain,22700,1769336766.4679832,12.0
train/domain,22800,1769336767.0003452,12.0
train/domain,22900,1769336767.5345776,12.0
train/domain,23000,1769336772.2229974,12.0
train/domain,23100,1769336772.7691302,12.0
train/domain,23200,1769336773.3161986,12.0
train/domain,23300,1769336773.8666427,12.0
train/domain,23400,1769336774.413791,12.0
train/domain,23500,1769336774.9481835,12.0
train/domain,23600,1769336775.481251,12.0
train/domain,23700,1769336776.0112603,12.0
train/domain,23800,1769336776.5565176,12.0
train/domain,23900,1769336777.1004374,12.0
train/domain,24000,1769336782.0501149,12.0
train/domain,24100,1769336782.5830216,12.0
train/domain,24200,1769336783.1177688,12.0
train/domain,24300,1769336783.6485064,12.0
train/domain,24400,1769336784.167598,12.0
train/domain,24500,1769336784.68895,12.0
train/domain,24600,1769336785.2173579,12.0
train/domain,24700,1769336785.746412,12.0
train/domain,24800,1769336786.2761493,12.0
train/domain,24900,1769336786.8249452,12.0
train/domain,25000,1769336791.7210414,12.0
train/domain,25100,1769336792.260168,12.0
train/domain,25200,1769336792.7955878,12.0
train/domain,25300,1769336793.3269522,12.0
train/domain,25400,1769336793.860046,12.0
train/domain,25500,1769336794.3925645,12.0
train/domain,25600,1769336794.9267669,12.0
train/domain,25700,1769336795.4616692,12.0
train/domain,25800,1769336795.9957294,12.0
train/domain,25900,1769336796.5268037,12.0
train/domain,26000,1769336801.5106268,12.0
train/domain,26100,1769336802.049714,12.0
train/domain,26200,1769336802.5832498,12.0
train/domain,26300,1769336803.117731,12.0
train/domain,26400,1769336803.6501253,12.0
train/domain,26500,1769336804.1841772,12.0
train/domain,26600,1769336804.7159598,12.0
train/domain,26700,1769336805.2454333,12.0
train/domain,26800,1769336805.778155,12.0
train/domain,26900,1769336806.3141341,12.0
train/domain,27000,1769336811.2281935,12.0
train/domain,27100,1769336811.7681923,12.0
train/domain,27200,1769336812.3022504,12.0
train/domain,27300,1769336812.8377724,12.0
train/domain,27400,1769336813.368511,12.0
train/domain,27500,1769336813.899722,12.0
train/domain,27600,1769336814.4309726,12.0
train/domain,27700,1769336814.9629545,12.0
train/domain,27800,1769336815.4952645,12.0
train/domain,27900,1769336816.0259984,12.0
train/domain,28000,1769336821.020021,12.0
train/domain,28100,1769336821.6009471,12.0
train/domain,28200,1769336822.1356769,12.0
train/domain,28300,1769336822.6722887,12.0
train/domain,28400,1769336823.207908,12.0
train/domain,28500,1769336823.7450693,12.0
train/domain,28600,1769336824.2828157,12.0
train/domain,28700,1769336824.8205564,12.0
train/domain,28800,1769336825.3573172,12.0
train/domain,28900,1769336825.894408,12.0
train/domain,29000,1769336830.5331292,12.0
train/domain,29100,1769336831.0758414,12.0
train/domain,29200,1769336831.6124845,12.0
train/domain,29300,1769336832.1500998,12.0
train/domain,29400,1769336832.6841493,12.0
train/domain,29500,1769336833.2187896,12.0
train/domain,29600,1769336833.7514277,12.0
train/domain,29700,1769336834.2840044,12.0
train/domain,29800,1769336834.8143218,12.0
train/domain,29900,1769336835.3446302,12.0
train/domain,30000,1769336840.422188,12.0
train/domain,30100,1769336840.9522583,12.0
train/domain,30200,1769336841.5101619,12.0
train/domain,30300,1769336842.0345662,12.0
train/domain,30400,1769336842.5597887,12.0
train/domain,30500,1769336843.0859864,12.0
train/domain,30600,1769336843.613922,12.0
train/domain,30700,1769336844.138773,12.0
train/domain,30800,1769336844.66009,12.0
train/domain,30900,1769336845.180193,12.0
train/domain,31000,1769336850.5034008,12.0
train/domain,31100,1769336851.0322533,12.0
train/domain,31200,1769336851.5601072,12.0
train/domain,31300,1769336852.0883267,12.0
train/domain,31400,1769336852.6146421,12.0
train/domain,31500,1769336853.13969,12.0
train/domain,31600,1769336853.6655183,12.0
train/domain,31700,1769336854.1922164,12.0
train/domain,31800,1769336854.714568,12.0
train/domain,31900,1769336855.240245,12.0
train/domain,32000,1769336860.036162,12.0
train/domain,32100,1769336860.5656888,12.0
train/domain,32200,1769336861.0911117,12.0
train/domain,32300,1769336861.6225946,12.0
train/domain,32400,1769336862.1506739,12.0
train/domain,32500,1769336862.6739044,12.0
train/domain,32600,1769336863.1982949,12.0
train/domain,32700,1769336863.7250388,12.0
train/domain,32800,1769336864.251953,12.0
train/domain,32900,1769336864.7763033,12.0
train/domain,33000,1769336869.3022008,12.0
train/domain,33100,1769336869.8339024,12.0
train/domain,33200,1769336870.358805,12.0
train/domain,33300,1769336870.8855224,12.0
train/domain,33400,1769336871.412698,12.0
