tag,step,wall_time,value
train/loss,0,1769506244.362046,0.41462811827659607
train/loss,100,1769506244.8660214,0.1546264886856079
train/loss,200,1769506245.3700936,0.18282878398895264
train/loss,300,1769506245.8738246,0.1308322548866272
train/loss,400,1769506246.3758256,0.18135862052440643
train/loss,500,1769506246.8800747,0.18723145127296448
train/loss,600,1769506247.3789537,0.19539229571819305
train/loss,700,1769506247.8810766,0.1549585610628128
train/loss,800,1769506248.385738,0.1593233346939087
train/loss,900,1769506249.1273196,0.13392327725887299
train/loss,1000,1769506257.4012327,0.1657535433769226
train/loss,1100,1769506257.9013171,0.14394056797027588
train/loss,1200,1769506258.3996482,0.15283600986003876
train/loss,1300,1769506258.8977964,0.20492129027843475
train/loss,1400,1769506259.3999434,0.1428447663784027
train/loss,1500,1769506259.8990886,0.16958080232143402
train/loss,1600,1769506260.3985648,0.14015154540538788
train/loss,1700,1769506260.9081297,0.17784295976161957
train/loss,1800,1769506261.5466917,0.0985148474574089
train/loss,1900,1769506262.3304808,0.1983477771282196
train/loss,2000,1769506270.5403554,0.1196051836013794
train/loss,2100,1769506271.038732,0.1509149819612503
train/loss,2200,1769506271.536317,0.12410863488912582
train/loss,2300,1769506272.032962,0.14715099334716797
train/loss,2400,1769506272.530207,0.21349698305130005
train/loss,2500,1769506273.0268114,0.10746954381465912
train/loss,2600,1769506273.5237756,0.20853838324546814
train/loss,2700,1769506274.0469322,0.15522247552871704
train/loss,2800,1769506274.8311641,0.10193526744842529
train/loss,2900,1769506275.6189845,0.23178645968437195
train/loss,3000,1769506283.6220093,0.14224758744239807
train/loss,3100,1769506284.174362,0.15299123525619507
train/loss,3200,1769506284.7238393,0.18904787302017212
train/loss,3300,1769506285.273449,0.1644858419895172
train/loss,3400,1769506285.7874622,0.11461833119392395
train/loss,3500,1769506286.350774,0.1892683357000351
train/loss,3600,1769506287.1446214,0.1417795717716217
train/loss,3700,1769506287.9475002,0.13923633098602295
train/loss,3800,1769506288.749517,0.13806116580963135
train/loss,3900,1769506289.5536466,0.18000385165214539
